idTrips,idVehicles,startDateTime,endDateTime,startLongitude,endLongitude,startLatitude,endLatitude
26,5,"2013-12-30 11:28:32","2013-12-30 11:35:54",-83.33132636,-83.29941557,42.72731619,42.70475884
26,7,"2013-12-24 19:07:24","2013-12-24 19:11:46",-83.19032733,-83.17260046,42.68188542,42.67175019
26,9,"2013-12-26 15:42:28","2013-12-26 15:46:32",-83.75641881488264,-83.7893798109144,42.51779769547284,42.54954838659614
26,10,"2013-12-20 14:27:08","2013-12-20 14:57:54",-83.29514867,-83.12489517,42.70109542,42.50017503
27,2,"2013-12-30 18:27:46","2013-12-30 18:58:14",0,0,0,0
27,5,"2014-01-03 17:43:05","2014-01-03 17:48:28",-83.33036821,-83.30769647,42.72775545,42.72124482
27,7,"2013-12-24 20:40:39","2013-12-24 20:42:46",-83.172352,-83.18910506,42.67608689,42.68203712
27,9,"2013-12-26 16:37:20","2013-12-26 16:40:55",-83.78467798233032,-83.79589648917317,42.542930035851896,42.546376842074096
27,10,"2013-12-20 15:04:08","2013-12-20 15:25:53",-83.12337412,-83.08814646,42.49733924,42.56114623
28,2,"2013-12-30 19:01:23","2013-12-30 19:14:19",0,0,0,0
28,5,"2014-01-03 21:25:15","2014-01-03 21:37:06",-83.24294713,-83.3324541,42.69693855,42.72721655
28,7,"2013-12-25 13:26:58","2013-12-25 13:33:33",-83.15741953,-83.1516646,42.68153368,42.6280675
28,9,"2013-12-26 17:13:07","2013-12-26 17:31:03",-83.79272125661373,-83.7948640063405,42.54620249848813,42.50614001881331
28,10,"2013-12-20 16:30:12","2013-12-20 17:00:54",-83.08871191,-83.12478588,42.56268039,42.49863664
29,2,"2013-12-30 20:09:17","2013-12-30 20:47:48",0,0,0,0
29,7,"2013-12-25 16:10:12","2013-12-25 17:00:25",-83.15206101,-82.80022366,42.6309769,42.68845037
29,9,"2013-12-27 12:06:16","2013-12-27 12:46:32",-83.79376924596727,-83.25196805410087,42.50682628713548,42.603921624831855
29,10,"2013-12-20 18:40:05","2013-12-20 18:47:38",-83.12992503,-83.12477815,42.48669331,42.49896185
30,2,"2014-01-02 07:33:13","2014-01-02 12:55:06",0,0,0,0
30,7,"2013-12-25 22:32:46","2013-12-25 23:16:21",-82.79970197,-83.1903372,42.68883593,42.68200193
30,9,"2013-12-27 14:19:55","2013-12-27 14:39:33",-83.19948996417224,-83.21858243085444,42.640839256346226,42.6464026607573
